Package name,Publicantion Data,Version of Python,Last month downloads
numpy,2023-07-08,>=3.9,0
pandas,2023-06-28,>=3.8,0
matplotlib,2023-07-05,>=3.8,0
scikit-learn,2023-06-30,>=3.8,0
tensorflow,2023-07-05,>=3.8,0
django,2023-07-03,>=3.8,0
flask,2023-05-01,>=3.8,0
requests,2023-05-22,>=3.7,0
beautifulsoup4,2023-04-07,>=3.6.0,0
pytest,2023-06-23,>=3.7,0
pytorch,2019-04-24,N/A,0
opencv-python,2023-06-30,>=3.6,0
seaborn,2022-12-30,>=3.7,0
plotly,2023-06-08,>=3.6,0
pyyaml,2023-07-17,>=3.6,0
tqdm,2023-03-03,>=3.7,0
sqlalchemy,2023-07-15,>=3.7,0
nltk,2023-01-02,>=3.7,0
jupyter,2015-08-12,N/A,0
pymongo,2023-07-13,>=3.7,0
flask-restful,2023-05-21,N/A,0
pyinstaller,2023-06-24,"<3.13,>=3.7",0
wxpython,2023-06-08,N/A,0
pillow,2023-07-01,>=3.8,0
pyqt5,2023-02-06,>=3.7,0
pydot,2021-02-15,">=2.7, !=3.0.*, !=3.1.*, !=3.2.*, !=3.3.*",0
pylint,2023-05-06,>=3.7.2,0
pygame,2023-06-24,>=3.6,0
keras,2023-06-27,>=3.8,0
cx-Freeze,2023-07-15,>=3.7.4,0
fastapi,2023-07-07,>=3.7,0
pyodbc,2023-04-14,">=2.7, !=3.0.*, !=3.1.*, !=3.2.*, !=3.3.*, !=3.4.*, !=3.5.*",0
openpyxl,2023-03-11,>=3.6,0
xlrd,2020-12-11,">=2.7, !=3.0.*, !=3.1.*, !=3.2.*, !=3.3.*, !=3.4.*, !=3.5.*",0
xlwt,2017-08-22,N/A,0
pyspark,2023-06-23,>=3.7,0
paramiko,2023-05-25,>=3.6,0
psycopg2,2023-04-03,>=3.6,0
scipy,2023-06-28,"<3.13,>=3.9",0
bokeh,2023-06-21,>=3.9,0
statsmodels,2023-05-05,>=3.8,0
dash,2023-06-29,>=3.6,0
pytz,2023-03-29,N/A,0
networkx,2023-04-04,>=3.8,0
pymysql,2023-06-26,>=3.7,0
pyserial,2020-11-23,N/A,0
google-api-python-client,2023-07-18,>=3.7,0
python-docx,2021-05-15,N/A,0
pywin32,2023-03-26,N/A,0
pycairo,2023-06-19,>=3.8,0
pygments,2023-04-18,>=3.7,0
pandasql,2016-04-20,N/A,0
scrapy,2023-05-08,>=3.7,0
pyarrow,2023-06-13,>=3.7,0
torchvision,2023-05-08,>=3.8,0
fasttext,2020-04-28,N/A,0
xgboost,2023-06-19,>=3.8,0
keras-tuner,2023-04-13,N/A,0
gensim,2023-03-10,>=3.8,0
pygraphviz,2023-06-01,>=3.8,0
pycryptodome,2023-05-19,">=2.7, !=3.0.*, !=3.1.*, !=3.2.*, !=3.3.*, !=3.4.*",0
fuzzywuzzy,2020-02-13,N/A,0
redis,2023-06-25,>=3.7,0
tweepy,2023-04-24,>=3.7,0
pyspellchecker,2023-04-26,>=3.6,0
imaplib,N/A,N/A,N/A
pydantic,2023-07-14,>=3.7,0
selenium,2023-06-07,>=3.7,0
pycurl,2022-12-16,>=3.5,0
pdfminer.six,2022-11-05,>=3.6,0
pyqrcode,2016-06-20,N/A,0
weasyprint,2023-05-11,>=3.7,0
pdfkit,2021-11-14,N/A,0
python-telegram-bot,2023-07-09,>=3.8,0
dash-bootstrap-components,2023-07-15,">=3.7, <4",0
